Timestamp,Name of your College ,Age in years (please enter only a number/integer),Which district is your hometown located in?,PINCODE of your home address,Approx. Distance of your home from IIT Bhilai (in Kms). Enter only a number (floating point).,Approx. Time to reach IIT Bhilai from your hometown (in hours). Enter only a number (floating point) ,Did you appear in JEE?,"How comfortable are you with math of data science fundamentals: Linear algebra, Optimization, Statistics, Probability?",How comfortable are you with coding in Python?,What is your career goal?,What do you expect to learn from this workshop?,"What applications of data science are you most interested in? Give examples from your daily life, or things that impact you most...or where you can make an impact."
07-12-2025 16:22,Krishna Engineering College khamariya ,2005,Durg ,490006,10kms,30 min,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Become a software developer ,To learn new things or technology ,
07-12-2025 16:23,Rungta college of engineering and technology ,21,Saran,841410,1200km,32 hours,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data analyst ,I expected to gain a deeper understanding of core concept cover in this workshop ,Finance sector or education 
07-12-2025 16:27,"Rungta College of Engineering and Technology, Bhilai ",20,Ranchi,834005,604,13,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects, Proficient: Used numpy, pandas, sklearn and made my own projects",My career goal is to become a skilled data scientist who can turn complex data into meaningful insights that drive real-world impact.,"I expect to gain hands-on experience in data wrangling, visualization, and machine learning, and learn how to apply these skills to solve real-world problems.
","I?m interested in applying data science to healthcare, business and education to improve lives through prediction and personalization."
07-12-2025 16:29,Krishna engineering college bhilai ,22,Kanker,494337,3,0.15,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Become a Ml or data engineer ,Learn about data science ,Power bi 
07-12-2025 16:29,Krishna Engineering College ,22,Durg ,490023,5.1 kms,30 mins,Never appeared in JEE,"Beginner: can't understand how to model data with maths, concepts not clear","Intermediate: Some familiarity, made 1-2 projects",To Become a Data Scientist ,"I expect to gain practical insights into data science concepts such as data preprocessing, machine learning, and visualization techniques. Through interactive sessions and hands-on projects, I hope to strengthen my analytical skills and understand how data can drive real-world decision-making.",1.) Natural Language processing 2) Personalized Recommendations etc.
07-12-2025 16:35,University Teaching Department (Csvtu),20,Durg ,490026,12,0.5 hours ,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",Data analyst ,To have an in-depth knowledge of how mathematically data science works can be done,Tax evasion and incarceration rates
07-12-2025 16:35,Rungta college of engineering and technology ,21,Kamrup(M),781034,1800,72,Appeared but didn't Qualify,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To be a data scientist ,"I'm expecting to learn more about python programming, how to solve using different parameters and functions ","I?m most interested in data science applications that impact people?s daily lives?especially in the areas of healthcare, education, and personal productivity.for example - in healthcare services, google maps etc"
07-12-2025 16:37,Krishna Engineering College Bhilai ,24 year old in 2025,Durg ,491001,5 km,15 minutes ,Never appeared in JEE,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",AI scientist & Enterpreneur ,Basic of Data science ,"In AI , Amazon (E-commerce)"
07-12-2025 16:39,CSVTU,20,Kushinagar,274304,1000,24,Qualified JEE Mains,"Intermediate: can model some problems, solve some problems","Intermediate: Some familiarity, made 1-2 projects",To get a decent job,AI,In field of AI
07-12-2025 16:39,U.T.D. C.S.V.T.U,20,Raipur ,492001,10,0.45,Appeared but didn't Qualify,Maths itself is not my thing. I prefer visual thinking.,"Proficient: Used numpy, pandas, sklearn and made my own projects",Being part of AI revolution.,"To refine my skills and add new edge.

",How exploring and exploitation of data can open new dimensions of understanding 
